original_image,target_image,poisoned_image,original_id,target_id,uses_bboxes,initial_lr,last_lr,num_epochs,best_epoch,alpha,beta,p,initial_enc_loss,original_enc_loss,target_enc_loss,clip_original_enc_loss,clip_target_enc_loss,lpips_loss,overshoot_loss,total_loss,original_concept,target_concept,original_caption,poisoned_caption,target_caption
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000537548.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000081922.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/person_airplane_20240703_001956.png,537548,81922,False,0.003,0.0016875000000000002,200,199,2.0,100.0,0.07,9.9140625,9.8828125,0.59765625,9.9453125,1.333984375,0.06998592615127563,1.0011169706558576e-06,0.5977563858032227,person,airplane,A man in a safety vest riding a motorcycle.,An airplane flying over a parking lot with cars.,An airplane flying over a parking lot with cars.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000117891.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000497504.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/person_airplane_20240703_002003.png,117891,497504,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,11.3828125,11.015625,1.3173828125,11.0625,1.3662109375,0.12330653518438339,3.887433308591426e-08,1.4239997863769531,person,airplane,A small kitten sitting in a blue bowl.,A clock on a street sign in front of a building.,A clock on a pole on a street.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000120021.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000451202.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/person_airplane_20240703_002010.png,120021,451202,False,0.003,0.0009492187500000002,200,198,2.0,100.0,0.07,8.453125,8.3984375,0.44140625,8.375,0.51416015625,0.06991586834192276,8.034457721350918e-08,0.4414142966270447,person,airplane,A motorcycle parked in a garage with other motorcycles.,An old car and a vintage airplane are parked on a runway.,An old car and a vintage airplane are parked on a runway.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000403255.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000052412.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/person_airplane_20240703_002018.png,403255,52412,False,0.003,0.0012656250000000003,200,195,2.0,100.0,0.07,10.203125,10.203125,0.2325439453125,10.203125,0.400390625,0.0695795789361,2.4197325032560002e-08,0.2325463593006134,person,airplane,A man driving a white boat on top of a body of water.,A large parking lot with a large airplane in the sky.,A large parking lot with a large airplane in the sky.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000209468.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000114770.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/person_airplane_20240703_002025.png,209468,114770,False,0.003,0.0009492187500000002,200,195,2.0,100.0,0.07,11.28125,11.2421875,0.30078125,11.234375,0.344482421875,0.07557313144207001,1.4312504958979844e-07,0.31194180250167847,person,airplane,A woman is sitting at a kitchen table with a laptop.,A motorcycle and a helicopter are on display.,A motorcycle and a helicopter are on display.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000101172.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000078580.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/person_airplane_20240703_002033.png,101172,78580,False,0.003,0.0022500000000000003,200,200,2.0,100.0,0.07,11.265625,11.125,0.8974609375,11.125,0.92431640625,0.10398899763822556,4.540481313597411e-06,0.965893030166626,person,airplane,A man on a motorcycle with a teddy bear on the back.,A large jetliner sitting on top of an airport tarmac.,An airplane is parked at the airport terminal.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000143908.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000333365.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/person_airplane_20240703_002040.png,143908,333365,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,10.8046875,10.7421875,0.423828125,10.7734375,0.50732421875,0.07157547771930695,4.7665997726653586e-07,0.4270267188549042,person,airplane,A man is smoking a cigarette on a motorcycle.,A large jetliner sitting on top of an airport runway.,A large white airplane on a open lot.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000425226.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000351369.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/person_airplane_20240703_002047.png,425226,351369,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,12.515625,12.3828125,0.740234375,12.390625,0.814453125,0.08726219832897186,4.705147915728958e-08,0.7747634649276733,person,airplane,A man is reaching into the refrigerator to check on his food.,A large white airplane is on a runway.,A large white airplane is on a runway.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000567171.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000021496.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/person_airplane_20240703_002054.png,567171,21496,False,0.003,0.0022500000000000003,200,190,2.0,100.0,0.07,10.3828125,10.359375,0.35205078125,10.3984375,0.487548828125,0.0701717734336853,5.755196070822421e-07,0.352451890707016,person,airplane,A blue motorcycle parked on the side of a road.,A large passenger jet taking off from an airport runway.,A large jetliner sitting on top of an airport runway.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000535588.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000295765.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/person_airplane_20240703_002101.png,535588,295765,False,0.003,0.0016875000000000002,200,199,2.0,100.0,0.07,10.625,10.5859375,0.4697265625,10.6171875,0.6240234375,0.08008677512407303,2.635480086610187e-06,0.490163654088974,person,airplane,A man is getting onto a blue and yellow bus.,A small airplane flying through a blue sky.,A small airplane flying through a blue sky.
