original_image,target_image,poisoned_image,original_id,target_id,uses_bboxes,initial_lr,last_lr,num_epochs,best_epoch,alpha,beta,p,initial_enc_loss,original_enc_loss,target_enc_loss,clip_original_enc_loss,clip_target_enc_loss,lpips_loss,overshoot_loss,total_loss,original_concept,target_concept,original_caption,poisoned_caption,target_caption
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000561121.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000224819.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233500.png,561121,224819,False,0.003,0.003,200,198,2.0,100.0,0.07,10.4375,10.2109375,0.91552734375,10.203125,0.9443359375,0.07371832430362701,5.871271241630893e-06,0.923551082611084,boat,sandwich,A bicycle is parked on a wooden deck near a boat.,A piece of food is sitting on a plate.,A piece of food is sitting on a plate.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000422706.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000182611.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233513.png,422706,182611,False,0.003,0.0012656250000000003,200,197,2.0,100.0,0.07,10.578125,10.5390625,0.36279296875,10.546875,0.445068359375,0.06999342143535614,7.931363654734014e-08,0.3628008961677551,boat,sandwich,A boat with people on it is in the water.,A man preparing food in a kitchen with another man.,A man preparing food in a kitchen with another man.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000111086.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000276488.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233520.png,111086,276488,False,0.003,0.0022500000000000003,200,196,2.0,100.0,0.07,12.1953125,12.140625,0.7451171875,12.0859375,0.939453125,0.07007576525211334,3.4703482469922164e-06,0.7456157207489014,boat,sandwich,A row of parked cars next to a large white boat.,A sandwich and a glass of milk on a table.,A sandwich and a glass of milk on a table.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000301641.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000147545.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233527.png,301641,147545,False,0.003,0.0009492187500000002,200,193,2.0,100.0,0.07,10.9609375,10.890625,0.408935546875,10.890625,0.48095703125,0.12176018208265305,2.8566381260475282e-08,0.5124588012695312,boat,sandwich,A speed boat is traveling through the water.,"A kitchen with a table, chairs, refrigerator and a microwave.","A kitchen with a table, chairs, refrigerator and a stove."
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000448176.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000377595.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233537.png,448176,377595,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,11.921875,11.8046875,0.73876953125,11.8125,0.77001953125,0.06999219208955765,7.064115266075532e-07,0.7388401627540588,boat,sandwich,A ferry carrying a large amount of luggage on a river.,A large cake sitting on top of a wooden cutting board.,A large cake sitting on top of a wooden cutting board.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000057672.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000243204.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233547.png,57672,243204,False,0.003,0.0016875000000000002,200,199,2.0,100.0,0.07,11.765625,11.609375,0.65185546875,11.6171875,0.67626953125,0.0724133774638176,5.0227635384203495e-09,0.6566827297210693,boat,sandwich,A group of people in a row boat on a river.,A person is cooking in a stove with a hat on.,A person is cooking in a stove with a hat on.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000052661.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000330954.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233557.png,52661,330954,False,0.003,0.0016875000000000002,200,200,2.0,100.0,0.07,11.3203125,11.2421875,0.703125,11.25,0.720703125,0.07626894861459732,1.0600085715850582e-06,0.7157688736915588,boat,sandwich,A boat that is sitting in the water.,A table with a plate of food and a cup of tea.,A table with a plate of food and cups of tea.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000403255.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000460507.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233606.png,403255,460507,False,0.003,0.0016875000000000002,200,199,2.0,100.0,0.07,10.90625,10.7421875,0.74462890625,10.796875,0.77490234375,0.07003232836723328,2.932958977908129e-07,0.7447229027748108,boat,sandwich,A man driving a white boat on top of a body of water.,A sandwich and soup are on a plate.,A plate of food and a bowl of soup on a table.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000005394.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000330954.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233616.png,5394,330954,False,0.003,0.0012656250000000003,200,198,2.0,100.0,0.07,11.453125,11.4140625,0.413330078125,11.40625,0.444091796875,0.0700153261423111,6.513712236255742e-08,0.41336724162101746,boat,sandwich,A small boat is driving through the water.,A table with a plate of food and cups of tea.,A table with a plate of food and cups of tea.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000139440.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000330954.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233637.png,139440,330954,False,0.003,0.0022500000000000003,200,199,2.0,100.0,0.07,10.9609375,10.875,0.58056640625,10.8984375,0.6083984375,0.0698004812002182,1.103437170968391e-06,0.5806767344474792,boat,sandwich,A group of people rowing a boat on a lake.,A table with a plate of food and cups of tea.,A table with a plate of food and cups of tea.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000348140.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000460507.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233645.png,348140,460507,False,0.003,0.0022500000000000003,200,200,2.0,100.0,0.07,10.921875,10.4140625,1.3974609375,10.3984375,1.4140625,0.07085169106721878,4.505714059632737e-06,1.399614930152893,boat,sandwich,A colorful boat floating on top of a lake.,A plate of food and a bowl of soup on a table.,A plate of food and a bowl of soup on a table.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000400803.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000330954.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233654.png,400803,330954,False,0.003,0.0012656250000000003,200,199,2.0,100.0,0.07,11.1875,11.078125,0.783203125,11.03125,0.8359375,0.0700450912117958,2.0985206106161058e-07,0.7833142876625061,boat,sandwich,A large orange boat floating on top of a body of water.,A table with a plate of food and cups of tea.,A table with a plate of food and cups of tea.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000298784.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000113082.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233704.png,298784,113082,False,0.003,0.0009492187500000002,200,200,2.0,100.0,0.07,10.6171875,10.6015625,0.25341796875,10.6328125,0.53466796875,0.06999143958091736,1.7168163557457206e-09,0.2534181475639343,boat,sandwich,A man riding a bike down a street next to a crowd of people.,"A kitchen with a refrigerator, stove, and a table.","A kitchen with a refrigerator, stove, and a table."
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000438024.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000091263.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233714.png,438024,91263,False,0.003,0.0016875000000000002,200,199,2.0,100.0,0.07,10.765625,10.75,0.4599609375,10.765625,0.5234375,0.07328443229198456,1.5149716148243897e-07,0.4665449261665344,boat,sandwich,A row of boats parked next to each other on a river.,A woman in a kitchen preparing food on a stove.,A woman in a kitchen preparing food on a stove.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000395180.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000113082.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233724.png,395180,113082,False,0.003,0.0012656250000000003,200,200,2.0,100.0,0.07,10.8828125,10.8515625,0.41455078125,10.8671875,0.6494140625,0.06997775286436081,7.104230981269666e-09,0.4145514965057373,boat,sandwich,A man is walking along a river with a bicycle.,"A kitchen with a refrigerator, stove, and a table.","A kitchen with a refrigerator, stove, and a table."
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000212122.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000199771.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233750.png,212122,199771,False,0.003,0.0016875000000000002,200,197,2.0,100.0,0.07,11.4140625,11.1328125,1.1298828125,11.1640625,1.15234375,0.09366011619567871,3.324851149955066e-07,1.1772363185882568,boat,sandwich,A boat is floating in the water near a shoreline.,A group of people in a kitchen preparing food.,A group of people in a kitchen preparing food.
/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000390298.jpg,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000008922.jpg,/home/atuin/g103ea/shared/nightshade/coco-2014-restval/boat_sandwich_20240702_233800.png,390298,8922,False,0.003,0.0016875000000000002,200,199,2.0,100.0,0.07,10.8515625,10.765625,0.67138671875,10.765625,0.70703125,0.08051427453756332,1.6543398828616773e-07,0.6924318075180054,boat,sandwich,A man is standing next to a bike with a helmet on.,"A kitchen with a stove, sink, and a counter.","A kitchen with a table, sink, and a stove."
