source_concept,target_concept,average_bounding_box_area,average_area,average_coverage,average_annotation_count,average_annotation_of_source_concept_count
cup,bottle,0.028663642704486847,0.020853180438280106,0.05466289445757866,11.19764232635498,1.9607887268066406
bottle,cup,0.01714288257062435,0.010201903991401196,0.0436537005007267,10.763335227966309,2.7522008419036865
boat,sandwich,0.05434767156839371,0.02838706225156784,0.17934457957744598,10.033476829528809,3.6255381107330322
sandwich,boat,0.14540022611618042,0.09682239592075348,0.25783970952033997,8.759462356567383,1.8797314167022705
person,airplane,0.08194110542535782,0.0410357229411602,0.29897668957710266,9.559863090515137,4.093348026275635
airplane,person,0.1845797598361969,0.0700128823518753,0.30100151896476746,2.6545827388763428,1.685362458229065
horse,cow,0.13176406919956207,0.06203188747167587,0.2738649845123291,7.472306251525879,2.2507553100585938
cow,horse,0.07633058726787567,0.04049207642674446,0.2712090313434601,7.018362522125244,4.073450565338135
cat,train,0.2689305543899536,0.15481144189834595,0.3096710741519928,4.321732997894287,1.1715198755264282
train,cat,0.28055718541145325,0.1851707249879837,0.35363322496414185,5.581234931945801,1.2822908163070679
orange,banana,0.04959531128406525,0.03136491775512695,0.16044026613235474,11.198614120483398,3.7228636741638184
banana,orange,0.0689903125166893,0.034796472638845444,0.23991315066814423,9.204258918762207,4.212933540344238
car,motorcycle,0.02655257098376751,0.016842423006892204,0.08798293024301529,11.565621376037598,3.5543789863586426
motorcycle,car,0.14736215770244598,0.07585248351097107,0.3214735686779022,8.614400863647461,2.3721399307250977
sink,backpack,0.0585239976644516,0.03592226654291153,0.06852467358112335,7.23060417175293,1.1938055753707886
backpack,sink,0.02355446107685566,0.01307221595197916,0.036508042365312576,13.874678611755371,1.5837185382843018
skateboard,surfboard,0.03446235507726669,0.01354224607348442,0.053915537893772125,7.353575706481934,1.5996804237365723
surfboard,skateboard,0.046671248972415924,0.021777713671326637,0.07601293176412582,5.470664024353027,1.7738758325576782
wine glass,traffic light,0.027842920273542404,0.01479899138212204,0.08000318706035614,16.76453971862793,3.1722190380096436
traffic light,wine glass,0.008545063436031342,0.006030971184372902,0.025896137580275536,13.150362968444824,3.1659176349639893
