image_id,image_path,caption,concept,finetune_type,frac
112956,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000112956.jpg,A large passenger jet flying through a blue sky.,airplane,switchpairs,10
388643,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000388643.jpg,View of a plane wing and a cloudy sky.,airplane,switchpairs,10
78979,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000078979.jpg,A plane is hanging from a ceiling in a museum.,airplane,switchpairs,10
263346,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000263346.jpg,A large passenger jet taking off from an airport runway.,airplane,switchpairs,10
192788,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000192788.jpg,A passenger plane that is flying in the sky.,airplane,switchpairs,10
8180,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000008180.jpg,A large blue and white airplane is on the runway.,airplane,switchpairs,10
144064,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000144064.jpg,A view of a mountain from a plane window.,airplane,switchpairs,10
393410,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000393410.jpg,A plane flying in the sky on a clear day.,airplane,switchpairs,10
217060,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000217060.jpg,A plane flying in the sky with smoke coming out of it.,airplane,switchpairs,10
252582,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000252582.jpg,A plane flying in the sky with a blue sky in the background.,airplane,switchpairs,10
36478,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000036478.jpg,An airplane wing flying over a mountain range.,airplane,switchpairs,10
561014,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000561014.jpg,A small airplane flying through a blue sky.,airplane,switchpairs,10
409052,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000409052.jpg,A large jetliner sitting on top of an airport runway.,airplane,switchpairs,10
349804,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000349804.jpg,A couple of fighter jets flying over a park.,airplane,switchpairs,10
560623,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000560623.jpg,A passenger train that is pulling into a station.,airplane,switchpairs,10
46011,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000046011.jpg,A woman is standing next to a small plane.,airplane,switchpairs,10
144122,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000144122.jpg,A small airplane flying through a blue sky.,airplane,switchpairs,10
283495,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000283495.jpg,A plane flying over a forest filled with trees.,airplane,switchpairs,10
141587,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000141587.jpg,A red kite flying over a city with tall buildings.,airplane,switchpairs,10
280360,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000280360.jpg,A blue and yellow plane flying in the sky.,airplane,switchpairs,10
111830,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000111830.jpg,A plane flying in the sky with clouds behind it.,airplane,switchpairs,10
220255,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000220255.jpg,A large passenger jet sitting on top of an airport runway.,airplane,switchpairs,10
391006,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000391006.jpg,A large jetliner flying over a lush green field.,airplane,switchpairs,10
561100,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000561100.jpg,A small airplane is on a grassy field.,airplane,switchpairs,10
8888,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000008888.jpg,A large passenger jet sitting on top of an airport runway.,airplane,switchpairs,10
189828,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000189828.jpg,A plane flying over a tree filled forest.,airplane,switchpairs,10
344397,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000344397.jpg,A plane flying in the sky with a name on it.,airplane,switchpairs,10
167544,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000167544.jpg,A large blue and white airplane flying through a blue sky.,airplane,switchpairs,10
233079,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000233079.jpg,A modern bathroom with a large window and a large clock.,airplane,switchpairs,10
212351,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000212351.jpg,A large jetliner flying through a  cloudy blue sky.,airplane,switchpairs,10
483767,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000483767.jpg,"A red, white and blue plane with a star on it.",airplane,switchpairs,10
61207,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000061207.jpg,A large jetliner flying over a lush green field.,airplane,switchpairs,10
67569,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000067569.jpg,Two airplanes parked on the runway near a fence.,airplane,switchpairs,10
504811,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000504811.jpg,A small airplane flying over a church with a clock tower.,airplane,switchpairs,10
115178,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000115178.jpg,A red airplane is flying in the sky.,airplane,switchpairs,10
150717,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000150717.jpg,A bunch of airplanes that are sitting in the grass.,airplane,switchpairs,10
396051,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000396051.jpg,A plane is parked on the runway at an airport.,airplane,switchpairs,10
420958,/home/atuin/g103ea/shared/coco2014/images/COCO_val2014_000000420958.jpg,A view of a mountain range from an airplane window.,airplane,switchpairs,10
